chem,var_importance,tot_instances,uniq_instances
var2,27028.037125943425,4789,180
var6,6127.887576237848,5817,194
var13,247.68373975424905,4994,170
var9,83.09128700142136,560,27
var8,48.434213073608014,413,6
var5,38.19003879343558,515,19
var3,37.23681389851879,397,15
var4,8.40673171401924,230,9
var7,1.974769684937829,47,5
var1,0.7295089907093643,92,4
var14,-0.058204441075029145,583,14
var15,-0.0775916041285677,379,7
var11,-1.180605377154006,386,7
var12,-33.409311578420564,9,6
var10,-22802.076893300553,3800,123
