chem,var_importance,tot_instances,uniq_instances
Myc_30907,107292.81190311648,12542,198
Cyp_1_a_1_79654,2523.619844883564,7918,176
Arf_1_31811,1386.426024597797,7455,121
Cacng_7_59342,794.3124096838301,499,9
Nkain_4_74119,162.08611056693238,187,21
March_3_58049,68.36816021399869,1,1
Egr_1_58083,61.030168590978995,15,10
Slurp_1_55564,25.174189182729585,5,5
Myl_2_32080,20.222025597315596,4,4
Igkv_615_64030,1.0,4,1
Rpl_3_l_76369,1.0,131,1
Lipo_5_56386,-3.0,209,3
Dydc_1_55826,-21.531527396977832,1,1
Eef_1_a_2_67152,-70.78028245733384,2426,16
Gm_21190_82342,-88.91872842516449,3,3
Tacr_1_72530,-750.2619990104854,456,24
Mettl_14_68520,-1151.4527049281878,3301,93
Asb_14_29409,-31340.055064304197,10927,139
