Equation
25.6276*(0.00193128 - 0.308811*chem6)*(0.0134906 - 0.381546*chem2) + 25.6276*(1.89632 - 1.23721*chem10)*(-0.30002*chem10 + 0.0562036*chem13 + 0.0426048) + 4.71869
17.9616*(1.47592 - 0.972326*chem10)*(-0.548153*chem10 + 0.104252*chem13 + 0.0766085) + 17.9616*(0.408704*chem2 - 0.015672)*(0.411598*chem6 - 0.00602686) + 4.70031
5.24392*(1.01493*chem10 - 1.53103)*(1.77643*chem10 - 0.345909*chem13 - 0.267401) + 5.24392*(1.46576*chem2 - 0.0536265)*(0.392765*chem6 - 0.00555306) + 4.51358
-2.39614*(0.0263577 - 0.698617*chem6)*(1.81481*chem2 - 0.102494) - 2.39614*(3.65547 - 2.43254*chem10)*(1.64266*chem10 - 0.319101*chem13 - 0.249962) + 4.76118
49.6184*(0.00503097 - 0.200834*chem6)*(0.0093078 - 0.303138*chem2) + 49.6184*(0.57514*chem10 - 0.779945)*(-0.596718*chem11 - 1.52197)*(0.0514364*chem13 - 0.0169286) + 0.668002
-17.912*(0.0171883 - 0.676666*chem6)*(0.24922*chem2 - 0.00764921) - 17.912*(4.04549 - 2.98409*chem10)*(-0.439972*chem11 - 1.12835)*(0.0370668*chem13 - 0.0122927) + 0.677433
20.9085*(0.00263779 - 0.086718*chem6)*(0.0566258 - 1.66855*chem2) + 20.9085*(1.22251 - 0.90167*chem10)*(0.149934*chem11 + 0.387726)*(0.30604*chem13 - 0.101665) + 0.717804
-22.1761*(0.00476877 - 0.139249*chem2)*(0.979241*chem6 - 0.0274187) - 22.1761*(0.074862 - 0.225219*chem13)*(1.73125 - 1.27794*chem10)*(0.136713*chem11 + 0.350332) + 0.713207
11.3973*(4.51131*chem10 - 6.11343)*(-0.0707796*chem11 - 0.185076)*(0.235002*chem13 - 0.0783565) + 11.3973*(1.00977*chem2 - 0.0342301)*(0.262647*chem6 - 0.00759186) + 0.710276
-10.4207*(0.0440744 - 1.3067*chem2)*(0.222032*chem6 - 0.00646282) - 10.4207*(0.0719743 - 0.215365*chem13)*(1.49124*chem10 - 2.02087)*(-0.257725*chem11 - 0.668539) + 0.725
